Customer_ID,Cust_Full_Name,Cust_Address,Cust_Email,Cust_Phone_Number
C001,Smith Sanchez,"1458 Washington St, Dallas, CA 92101",smith1@customer.com,619-967-6820
C002,Johnson Flores,"4499 Maple Dr, New York, CA 90001",johnson2@customer.com,323-739-5180
C003,Williams Garcia,"3823 Broadway, Phoenix, AZ 77001",williams3@customer.com,713-247-2470
C004,Brown Carter,"3194 Lakeview Dr, Dallas, PA 95101",brown4@customer.com,408-446-3002
C005,Jones Harris,"4800 Cedar Ln, San Antonio, CA 19101",jones5@customer.com,215-228-4906
C006,Garcia Adams,"3512 Cedar Ln, Los Angeles, NY 92101",garcia6@customer.com,619-189-6246
C007,Miller King,"5926 Sunset Rd, Phoenix, NY 77001",miller7@customer.com,713-551-2275
C008,Davis Campbell,"3868 Maple Dr, Dallas, NY 10001",davis8@customer.com,212-800-4202
C009,Rodriguez Gonzalez,"7055 Broadway, Dallas, CA 85001",rodriguez9@customer.com,602-858-8348
C010,Martinez Thomas,"8306 Lakeview Dr, Philadelphia, TX 75201",martinez10@customer.com,512-413-9637
C011,Hernandez Carter,"5067 Washington St, Dallas, TX 19101",hernandez11@customer.com,215-861-5106
C012,Lopez Flores,"8866 Sunset Rd, San Antonio, CA 95101",lopez12@customer.com,408-400-4455
C013,Gonzalez Garcia,"1198 Park Blvd, San Antonio, CA 10001",gonzalez13@customer.com,212-115-8176
C014,Wilson Hernandez,"959 Washington St, Phoenix, NY 19101",wilson14@customer.com,215-364-6871
C015,Anderson Thompson,"9717 Maple Dr, San Antonio, PA 95101",anderson15@customer.com,408-970-7017
C016,Thomas Baker,"3355 Main St, San Diego, CA 60601",thomas16@customer.com,312-736-1146
C017,Taylor Lewis,"6911 Broadway, San Antonio, CA 78201",taylor17@customer.com,512-141-4090
C018,Moore Thomas,"7434 Sunset Rd, Philadelphia, CA 85001",moore18@customer.com,602-636-7073
C019,Jackson Campbell,"1127 Lakeview Dr, Philadelphia, NY 78201",jackson19@customer.com,415-579-8259
C020,Martin Wilson,"1905 Lakeview Dr, Houston, TX 95101",martin20@customer.com,408-359-8368
C021,Peter Thomas,"4274 Broadway, San Antonio, PA 90001",peter21@customer.com,323-319-5562
C022,Victoria Ramirez,"6373 Main St, Los Angeles, IL 85001",victoria22@customer.com,602-421-3958
C023,Raymond Davis,"7618 Sunset Rd, San Jose, TX 75201",raymond23@customer.com,415-689-3954
C024,Julia Johnson,"4471 Maple Dr, Phoenix, CA 19101",julia24@customer.com,215-238-1570
C025,Scott Nguyen,"5593 Broadway, San Jose, PA 78201",scott25@customer.com,646-894-8064
C026,Grace Taylor,"600 Lakeview Dr, New York, TX 95101",grace26@customer.com,408-697-5221
C027,Dennis Williams,"6069 Elm St, Houston, CA 92101",dennis27@customer.com,619-130-1423
C028,Evelyn Carter,"3382 Sunset Rd, San Antonio, CA 78201",evelyn28@customer.com,512-822-3187
C029,Gregory Thomas,"9219 Maple Dr, New York, TX 77001",gregory29@customer.com,713-535-8037
C030,Anna Hall,"3021 Lakeview Dr, Los Angeles, PA 19101",anna30@customer.com,215-147-2147
C031,Walter Mitchell,"702 Highland Ave, San Jose, TX 78201",walter31@customer.com,305-889-5198
C032,Rose Torres,"2439 Highland Ave, Los Angeles, CA 78201",rose32@customer.com,415-114-6336
C033,Patrick Clark,"7165 Maple Dr, San Diego, NY 90001",patrick33@customer.com,323-167-9580
C034,Judith Garcia,"7268 Highland Ave, San Diego, TX 19101",judith34@customer.com,215-812-6275
C035,Henry White,"8059 Elm St, San Jose, NY 85001",henry35@customer.com,602-109-5420
C036,Christina Rivera,"7131 Lakeview Dr, Chicago, CA 19101",christina36@customer.com,215-588-7209
C037,Douglas Adams,"7882 Elm St, Phoenix, AZ 78201",douglas37@customer.com,415-628-7058
C038,Maria Martinez,"9142 Park Blvd, San Antonio, CA 77001",maria38@customer.com,713-988-2693
C039,Harold Martinez,"5186 Highland Ave, San Diego, NY 90001",harold39@customer.com,323-492-5009
C040,Nicole Wright,"1611 Washington St, San Antonio, CA 92101",nicole40@customer.com,619-886-1319
C041,Alexander Perez,"8230 Cedar Ln, San Diego, TX 10001",alexander41@customer.com,212-433-6805
C042,Megan Scott,"2637 Sunset Rd, Houston, PA 90001",megan42@customer.com,323-583-7736
C043,Samuel White,"5900 Maple Dr, Houston, TX 60601",samuel43@customer.com,312-599-7675
C044,Dorothy Roberts,"8121 Main St, San Diego, CA 95101",dorothy44@customer.com,408-324-7255
C045,Frank King,"7089 Broadway, Los Angeles, CA 60601",frank45@customer.com,312-103-4595
C046,Sophia Thomas,"845 Park Blvd, San Antonio, TX 60601",sophia46@customer.com,312-673-4117
C047,Lawrence Martinez,"6474 Broadway, San Antonio, CA 60601",lawrence47@customer.com,312-212-4813
C048,Alice Brown,"7871 Cedar Ln, Los Angeles, CA 85001",alice48@customer.com,602-421-9363
C049,Arthur Rivera,"1004 Washington St, Phoenix, TX 10001",arthur49@customer.com,212-816-1788
C050,Ruth Thompson,"6238 Park Blvd, Phoenix, TX 10001",ruth50@customer.com,212-780-2289
C051,Philip Perez,"893 Park Blvd, Chicago, IL 75201",philip51@customer.com,646-849-4429
C052,Diana Robinson,"7626 Maple Dr, Dallas, CA 60601",diana52@customer.com,312-151-6741
C053,Roger Garcia,"7421 Washington St, San Jose, NY 75201",roger53@customer.com,305-388-5159
C054,Natalie Martin,"6989 Main St, Philadelphia, PA 78201",natalie54@customer.com,512-512-3725
C055,Benjamin Taylor,"7729 Cedar Ln, Dallas, PA 77001",benjamin55@customer.com,713-357-2869
C056,Virginia Robinson,"5465 Washington St, San Diego, CA 78201",virginia56@customer.com,646-954-7808
C057,Bruce Gonzalez,"7316 Park Blvd, Philadelphia, TX 95101",bruce57@customer.com,408-319-6402
C058,Madison Adams,"7974 Highland Ave, Phoenix, TX 75201",madison58@customer.com,415-649-2937
C059,Adam Young,"7315 Washington St, Philadelphia, NY 75201",adam59@customer.com,305-994-2297
C060,Abigail Brown,"8377 Broadway, Phoenix, CA 75201",abigail60@customer.com,305-285-8854
C061,Gerald Jackson,"396 Broadway, Los Angeles, CA 92101",gerald61@customer.com,619-562-6716
C062,Lauren Thompson,"9092 Main St, Chicago, NY 10001",lauren62@customer.com,212-557-2723
C063,Keith Lewis,"8467 Cedar Ln, Houston, PA 92101",keith63@customer.com,619-705-6430
C064,Isabella Lee,"1073 Broadway, San Diego, TX 78201",isabella64@customer.com,646-795-9620
C065,Terry Smith,"6479 Cedar Ln, Los Angeles, NY 78201",terry65@customer.com,415-667-8833
C066,Jane Robinson,"9340 Lakeview Dr, Philadelphia, TX 75201",jane66@customer.com,415-506-2329
C067,Wayne Brown,"3841 Cedar Ln, Chicago, PA 90001",wayne67@customer.com,323-588-5562
C068,Amy Carter,"6912 Sunset Rd, Los Angeles, TX 95101",amy68@customer.com,408-601-8715
C069,Ralph Allen,"289 Cedar Ln, San Jose, TX 19101",ralph69@customer.com,215-929-8056
C070,Cynthia Williams,"5668 Lakeview Dr, Philadelphia, NY 77001",cynthia70@customer.com,713-812-2188
C071,Smith Moore,"5566 Main St, Phoenix, TX 10001",smith71@customer.com,212-434-8204
C072,Johnson Rodriguez,"2078 Washington St, Chicago, TX 75201",johnson72@customer.com,415-664-4254
C073,Williams Baker,"5796 Lakeview Dr, San Antonio, IL 92101",williams73@customer.com,619-852-1419
C074,Brown Martinez,"498 Lakeview Dr, Houston, TX 85001",brown74@customer.com,602-846-1731
C075,Jones Martinez,"9433 Elm St, San Jose, CA 90001",jones75@customer.com,323-943-4400
C076,Garcia Perez,"6293 Elm St, Los Angeles, TX 60601",garcia76@customer.com,312-269-9931
C077,Miller Johnson,"1877 Highland Ave, Houston, NY 10001",miller77@customer.com,212-636-8370
C078,Davis Roberts,"4881 Main St, Chicago, TX 92101",davis78@customer.com,619-203-3129
